"","company","market","TSE_code","TSE_name","year","ETR","CETR","STR","HHI","STR_HHI","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELATIN","RELATOUT","FAM_Dum"
"3830","1731 美吾華","TSE","M1722","生技醫療",2002,NA,NA,11,0.0470089843830043,11,0.0387355893951908,14.6938534941818,0.514199130170326,0,117.95,0.0138347622759158,28.8,0,0,1
"3831","1733 五鼎","TSE","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,0.125520096257551,13.5948825899156,0.111283454798227,0.0311714868175782,536.42,0.00997487578162503,40.65,0,0,0
"3832","1734 杏輝","TSE","M1722","生技醫療",2002,NA,NA,23,0.0470089843830043,23,0.0438113848204404,14.3211738799495,0.460110911081157,0.0584873513722155,82.72,-0.00188651365882931,11.39,4,0,1
"3833","1736 喬山","TSE","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,0.139009319084121,15.0816795485521,0.586418387043211,0.0429968451501831,69.01,0,7.31,46,62,1
"3834","1752 南光","OTC","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,0.0160815381994606,13.7146045506805,0.480286896942318,0.00329196985015785,64.95,0,0,0,0,1
"3835","1762 中化生","TSE","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,-0.0396511233652908,14.4693824638825,0.827445745439871,0.00179409788598066,12.05,-0.000234012767736608,0,0,60,1
"3836","1777 生泰","OTC","M1722","生技醫療",2002,NA,NA,15,0.0470089843830043,15,0.0816924121541334,12.7755256037438,0.219328919821196,0.0347054829400781,283.11,-0.00247835681548124,0,0,0,NA
"3837","1781 合世","OTC","M1722","生技醫療",2002,NA,NA,15,0.0470089843830043,15,0.196175041710522,12.2902805130236,0.659734063822844,0.0061772938489045,51.65,0,0,1,1,0
"3838","1783 和康生","TSE","M1722","生技醫療",2002,NA,NA,11,0.0470089843830043,11,-0.0393056664006385,12.0749383775054,0.246049481245012,0.0270436666286626,210.3,-0.0302582359447243,0,0,0,0
"3839","1784 訊聯","OTC","M1722","生技醫療",2002,NA,NA,18,0.0470089843830043,18,0.0544941488099945,12.2177640341198,0.257491895311141,0.00246599984185973,743.99,0,0,0,0,0
"3840","1786 科妍","TSE","M1722","生技醫療",2002,NA,NA,13,0.0470089843830043,13,-0.0811185059235209,12.4430441485141,0.0698277188428324,0.194761530892792,617.05,0,0,0,0,1
"3841","1788 杏昌","OTC","M1722","生技醫療",2002,NA,NA,10,0.0470089843830043,10,0.0767753622312137,13.6255091867428,0.629788937285811,0,94.54,0.00260351795375339,0,0,0,NA
"3842","1789 神隆","TSE","M1722","生技醫療",2002,NA,NA,21,0.0470089843830043,21,-0.117138109284385,15.3918193100069,0.681555644865857,0.0634940422586575,55.95,-0.00716673819760235,0,10,92,0
"3843","1795 美時","OTC","M1722","生技醫療",2002,NA,NA,15,0.0470089843830043,15,0.167814564709774,12.7847597009464,0.419811122417229,0.0324551002273371,152.79,0,0,0,0,NA
"3844","1799 易威","OTC","M1722","生技醫療",2002,NA,NA,5,0.0470089843830043,5,0.0358197137521193,11.7023928064201,0.403733443494875,0.00558553441257219,50.93,0.0270153967967089,0,0,0,NA
"3845","1813 寶利徠","OTC","M1722","生技醫療",2002,NA,NA,9,0.0470089843830043,9,0.138679946430944,13.2303887392035,0.530608324746247,0.000312366481281349,158.42,0,35.13,0,13,0
"3846","3118 進階","OTC","M1722","生技醫療",2002,NA,NA,17,0.0470089843830043,17,-0.0626850626850627,12.5627465894684,0.25027475027475,0.0346325346325346,220.63,-0.0302582359447243,0,0,13,1
"3847","3164 景岳","TSE","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,-0.16820062773178,12.5850671446821,0.0488252021948696,0.103692117071635,1395.4715,-0.0138518566690512,32.92,0,92,0
"3848","3176 基亞","OTC","M1722","生技醫療",2002,NA,NA,13,0.0470089843830043,13,-0.123379243448473,13.6704281369106,0.0488252021948696,0.194761530892792,1395.4715,-0.00460719740193375,65.5,0,92,1
"3849","3205 佰研","OTC","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,-0.290058991730853,12.1761030089077,0.123923851722095,0.194761530892792,196.71,-0.0302582359447243,33.07,0,0,1
"3850","3218 大學光","OTC","M1722","生技醫療",2002,NA,NA,11,0.0470089843830043,11,0.189233416217189,12.7503108014213,0.12464203749213,0,448.08,-0.00620613417900011,18.5,0,0,1
"3851","4102 永日","OTC","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,0.0331659295451037,13.2187003026524,0.118945083686758,3.08773714275335e-05,265.79,-0.0153678493910801,23.73,24,26,1
"3852","4103 百略","OTC","M1722","生技醫療",2002,NA,NA,18,0.0470089843830043,18,0.0858151091488099,14.7897093781578,0.517827940947753,0.03599864705909,112.28,0.00205055106672445,57.32,83,86,1
"3853","4104 佳醫","TSE","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,0.147776331067364,14.5302807667083,0.310604648295239,0,249.62,0.0332647588436665,57.56,0,0,0
"3854","4105 東洋","OTC","M1722","生技醫療",2002,NA,NA,21,0.0470089843830043,21,0.148599725180268,14.3280095808167,0.575460418890442,0.0124333765809023,449.06,0.00754436469800378,12.58,0,0,1
"3855","4106 雃博","TSE","M1722","生技醫療",2002,NA,NA,11,0.0470089843830043,11,0.208916033264185,13.3113509998641,0.240960045561933,5.46345856794473e-05,278.5,-0.00160923688728554,47.4,7,1,0
"3856","4107 邦特","OTC","M1722","生技醫療",2002,NA,NA,18,0.0470089843830043,18,0.035865372152305,13.6048944594146,0.240800656721208,0,229.82,0,24.12,0,4,1
"3857","4108 懷特","TSE","M1722","生技醫療",2002,NA,NA,13,0.0470089843830043,13,-0.272037380062685,11.9577330736871,0.0640883482139996,0.194761530892792,1002.26,0,55.92,0,0,1
"3858","4109 穆拉德","OTC","M1722","生技醫療",2002,NA,NA,15,0.0470089843830043,15,0.182013180135653,12.8317329628604,0.200063654064232,0,122.31,8.82598369600103e-05,8.3,0,0,1
"3859","4111 濟生","OTC","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,0.0384991872603811,13.8207388665085,0.399450082666661,0.00805378207436617,316.52,0,10.7,0,0,1
"3860","4114 健喬","OTC","M1722","生技醫療",2002,NA,NA,18,0.0470089843830043,18,0.0714403852242495,13.6488276771237,0.310942646384742,0.115912237674667,219.87,-0.00612427167949645,26.49,0,1,1
"3861","4116 明基醫","OTC","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,0.0431320668147369,13.7871738386751,0.325980571178146,0,136.43,0.00171285546894691,0,2,24,0
"3862","4119 旭富","TSE","M1722","生技醫療",2002,NA,NA,17,0.0470089843830043,17,0.121601548601556,13.5971331306152,0.320671740758526,0,66.36,0,91.6692,0,16,0
"3863","4120 友華","OTC","M1722","生技醫療",2002,NA,NA,12,0.0470089843830043,12,0.0561139955236278,14.1197266864543,0.603683933305891,3.31965634917473e-05,108.47,-0.0151096002986215,60.49,61,2,1
"3864","4121 優盛","OTC","M1722","生技醫療",2002,NA,NA,11,0.0470089843830043,11,0.214485335589397,13.4718928531822,0.291752679075014,0.00297095318668923,211.66,-0.000651438240270728,20.98,35,19,1
"3865","4123 晟德","OTC","M1722","生技醫療",2002,NA,NA,17,0.0470089843830043,17,0.210973931044786,12.1411393798245,0.388708076787639,0.0115458901112973,213.26,0,9.13,0,0,1
"3866","4126 太醫","OTC","M1722","生技醫療",2002,NA,NA,14,0.0470089843830043,14,0.0339862459265444,12.9741997394212,0.385320483827947,0.00830347099003815,84.4,-0.00789525565644969,23.6,0,4,1
"3867","4127 天良","OTC","M1722","生技醫療",2002,NA,NA,10,0.0470089843830043,10,0.0263202681942009,13.6825332974945,0.596708110361685,0.0704489511527896,57.31,0,37.2,9,3,1
"3868","4128 中天","OTC","M1722","生技醫療",2002,NA,NA,20,0.0470089843830043,20,-0.151973269196858,13.2178135474096,0.0893856678246864,0.0978517552997126,1146.15,0,47.46,0,7,1
